"scenario","median","lower_quartile","upper_quartile"
"PR_01",0,-62.5,40
"PR_02",0,-59.9,44.4
"PR_03",0,-66.6,41.6
"LR_01",0,-30,33.3
"LR_02",0,-40,45.5
"LR_03",0,-33.3,50
"PZ_01",9.1,-60,50
"PZ_02",17.4,-45.2,59.9
"PZ_03",33.3,-25,66.6
"PZ_04",45.6,0,88.8
"LZ_01",11.1,-50,49.9
"LZ_02",28.6,-12.5,60
"LZ_03",33.3,-12.5,76.7
"EC_01",0,-62.5,41.9
"EC_02",7.7,-50,50
"EC_03",18.2,-42.8,59.9
"EC_04",41.6,-14.9,76.9
"MI_01",0,-25,20
"MI_02",50,0,80
"AI_01",8.5,-34.1,50.5
"AI_02",NA,NA,NA
"AI_02C1",41.6,-10,73.7
"AI_03",NA,NA,NA
"AI_03C1",10,-66.6,50.6
"AI_02C2",46.8,0,76.9
"AI_03C2",14.3,-49.9,57.1
"AI_04",50,-12.5,78.5
"CI_01",50,0,81.8
"CI_02",49.9,-13.6,78.9
"CI_03",70,33.3,92.3
