"","PRCC","p.Value","abs"
"spread_tc",-0.0340004156810844,0.282753952191263,0.0340004156810844
"crate_prevalence",0.22813974748159,2.83747211277326e-13,0.22813974748159
"food_conc",0.725211243197023,6.11208177141237e-164,0.725211243197023
"food_tc",0.151406206802989,1.51195429041177e-06,0.151406206802989
"zone4_load",0.0784211523429598,0.0131156324203025,0.0784211523429598
"random_load",0.0695755351849789,0.0278007712743064,0.0695755351849789
"san_reduction",-0.020027123964583,0.52700493799772,0.020027123964583
"p_patch_spread",0.0681578035509569,0.0311501130073791,0.0681578035509569
"p_water_spread",0.00226930614077929,0.94286286035406,0.00226930614077929
"p_food_dropped",-0.0315105626577103,0.319516286762299,0.0315105626577103
"p_condensation",-0.0317326940956231,0.316115061293294,0.0317326940956231
"p_random_noise",0.223029278920623,9.74725213596195e-13,0.223029278920623
"p_zone4_intro",0.176032821718128,2.10070254070844e-08,0.176032821718128
"p11",0.48034634830429,7.44488842411336e-59,0.48034634830429
"p12",0.0440010013209896,0.164417478209307,0.0440010013209896
"p13",-0.0163959089018107,0.604548628443417,0.0163959089018107
"p14",0.0345516476156211,0.275018454224127,0.0345516476156211
"p21",0.118451190504382,0.000173830125917576,0.118451190504382
"p22",0.0617984545877923,0.0507411983485966,0.0617984545877923
"p23",-0.055170369335882,0.0811963391817039,0.055170369335882
"p24",-0.00346458278173664,0.912866970322661,0.00346458278173664
"p31",0.210187618926566,1.89962416159678e-11,0.210187618926566
"p32",-0.0264970914059203,0.402586628056239,0.0264970914059203
"p33",0.0250149299482075,0.42942509772472,0.0250149299482075
"p34",-0.0184044188208826,0.561024707220555,0.0184044188208826
"p41",0.0480587754239597,0.12883079135857,0.0480587754239597
"p42",0.0372302692974405,0.239491080018204,0.0372302692974405
"p43",0.0109267875243466,0.730009048140642,0.0109267875243466
"p44",-0.0461392379171528,0.144839865855854,0.0461392379171528
"tc11",0.108704005449371,0.000574381826685645,0.108704005449371
"tc12",0.0704833414225443,0.0258229747114659,0.0704833414225443
"tc13",-0.0939016515480924,0.00295590661481741,0.0939016515480924
"tc14",-0.00620919026520939,0.844525520525743,0.00620919026520939
"tc21",-0.109244849771572,0.000538838844494719,0.109244849771572
"tc22",0.049649641536409,0.116633128418253,0.049649641536409
"tc23",0.0486590934397443,0.124116592525641,0.0486590934397443
"tc24",0.00946669046653886,0.764943617799315,0.00946669046653886
"tc31",-0.0147039463734239,0.642344601074151,0.0147039463734239
"tc32",0.00258713772765204,0.934877094949531,0.00258713772765204
"tc33",-0.0430029225051532,0.174210107866773,0.0430029225051532
"tc34",-0.075317855880527,0.0172111799851076,0.075317855880527
"tc41",-0.0281988836863294,0.373042464158436,0.0281988836863294
"tc42",0.0546997259437415,0.0838290982199987,0.0546997259437415
"tc43",-0.0224556105943408,0.478132093624666,0.0224556105943408
"tc44",0.0643704578369484,0.0418370312182819,0.0643704578369484
